Estación,Provincia,Año,Mes,Precipitación,Temperatura máxima,Temperatura mínima,Presión atmosférica,Velocidad del viento,Nubosidad,Humedad relativa
Barahona,Barahona,2011,9,95.7,32.700000000000003,22.7,1011.3,12.3,4.5999999999999996,77.099999999999994
Barahona,Barahona,2012,10,445.7,31.5,23,1010,10.5,4.8,79.3
Barahona,Barahona,2012,12,22.8,31,20.3,1012.3,9.6999999999999993,3,73
Barahona,Barahona,2012,3,13.5,31.2,20.8,1014.6,14.7,3.1,66.400000000000006
Barahona,Barahona,2012,5,150.9,31.1,23,1012.7,15.7,4.2,76.5
Barahona,Barahona,2012,7,141.9,33.1,24,1014,16.100000000000001,4,70.3
Barahona,Barahona,2012,9,119,32.799999999999997,23.1,1012.9,12.3,3.8,72.900000000000006
Barahona,Barahona,2013,10,60.8,32.4,22.7,1011.8,11.8,4.5999999999999996,75.7
Barahona,Barahona,2013,12,11.6,31.3,21,1014.5,14.4,3.3,69
Barahona,Barahona,2013,3,9.9,31.2,21.7,1013.1,15.3,3.8,67.5
Barahona,Barahona,2013,5,78.400000000000006,32.1,23.5,1013.5,14.9,4.7,72.400000000000006
Barahona,Barahona,2013,7,118.5,32.700000000000003,23.6,1014.8,14.8,4.0999999999999996,71.3
Barahona,Barahona,2013,9,33.6,33.5,23.3,1011.2,13.1,4.4000000000000004,72.599999999999994
Barahona,Barahona,2014,10,63.8,33,22.7,1012.6,15.3,3.6,71
Barahona,Barahona,2014,12,0,30.8,20,1015.4,14.4,3.5,70.599999999999994
Barahona,Barahona,2014,3,21.8,31.3,21.8,1014.6,16.2,3.1,68.5
Barahona,Barahona,2014,5,93.8,31.5,23.4,1014.8,16.2,4.5999999999999996,71.099999999999994
Barahona,Barahona,2014,7,42.5,32.799999999999997,24.5,1016.8,19.2,4.2,70.099999999999994
Barahona,Barahona,2014,9,50.4,32.700000000000003,23.5,1014.3,16.3,4.5999999999999996,73.7
Barahona,Barahona,2015,10,86.9,33.1,23.6,1013.4,18.2,4.0999999999999996,71
Barahona,Barahona,2015,12,36.700000000000003,30.7,21.7,1016.5,17.899999999999999,3.9,75.900000000000006
Barahona,Barahona,2015,3,24.6,30.9,21.7,1016.8,21.3,3.2,66.599999999999994
Barahona,Barahona,2015,5,0.4,32.299999999999997,24,1016.3,23.1,4.4000000000000004,67.3
Barahona,Barahona,2015,7,7.4,33.4,24.9,1016.9,22.6,4,66.900000000000006
Barahona,Barahona,2015,9,31.8,33.1,24.4,1013.4,20.399999999999999,4.4000000000000004,71.099999999999994
Barahona,Barahona,2016,10,703.5,31.6,23.8,1009.9,16,5.4,80.900000000000006
Barahona,Barahona,2016,12,29.6,31.3,21,1015,14.6,3.6,73.2
Barahona,Barahona,2016,3,45.2,31.2,22.5,1015.1,20.8,3.4,67.7
Barahona,Barahona,2016,5,400.4,31,23.9,1014,17.2,5.0999999999999996,77.5
Barahona,Barahona,2016,7,6.1,33.4,24.8,1015.2,20.100000000000001,3.9,68.3
Barahona,Barahona,2016,9,50.5,34,24.4,1013.5,18.899999999999999,3.6,65.900000000000006
Bayaguana,Monte Plata,2011,10,162.19999999999999,32.200000000000003,22.2,999.9,7.4,5.0999999999999996,88
Bayaguana,Monte Plata,2011,12,19.5,30.4,19.2,1011.3,11.4,4.0999999999999996,83
Bayaguana,Monte Plata,2011,3,31.4,31.4,17.600000000000001,1005,11,3.7,74.5
Bayaguana,Monte Plata,2011,5,205.3,31.8,21.2,1001.7,7.5,5.6,84
Bayaguana,Monte Plata,2011,7,387.3,31.8,22.3,1003.3,6.8,6,90.2
Bayaguana,Monte Plata,2011,9,187.1,32.9,22.5,1001.6,7.3,5.4,88
Bayaguana,Monte Plata,2012,10,386.7,32,22.3,1003.7,7.6,5.2,81
Bayaguana,Monte Plata,2012,12,40.4,,,,,,
Bayaguana,Monte Plata,2012,3,175.5,30.4,18.899999999999999,1007.7,10.4,4.5999999999999996,80.2
Bayaguana,Monte Plata,2012,5,254.7,31.7,21.5,1005.1,9.4,4.9000000000000004,79.400000000000006
Bayaguana,Monte Plata,2012,7,269.60000000000002,32.9,22.6,1006.5,9.9,4.4000000000000004,79.599999999999994
Bayaguana,Monte Plata,2012,9,106.5,33.700000000000003,22,1004.8,5.8,4.2,79
Bayaguana,Monte Plata,2013,10,209.4,32.200000000000003,22,1317.2,6,5.0999999999999996,80.599999999999994
Bayaguana,Monte Plata,2013,12,69.3,30.9,19.5,1008.9,8.5,4,74.400000000000006
Bayaguana,Monte Plata,2013,3,70.400000000000006,31.1,19.899999999999999,1005.9,10.4,5.3,67.5
Bayaguana,Monte Plata,2013,5,516.79999999999995,31.8,26.6,1006.1,8.3000000000000007,5.6,79.2
Bayaguana,Monte Plata,2013,7,23,32.799999999999997,27.1,1007.3,8,5.3,79.7
Bayaguana,Monte Plata,2013,9,89.1,33.200000000000003,22.9,1002,7.7,5.0999999999999996,77.5
Bayaguana,Monte Plata,2014,10,62.8,33.4,21.3,,,4.3,76.3
Bayaguana,Monte Plata,2014,12,14.2,31.2,18.3,,,4.4000000000000004,74.3
Bayaguana,Monte Plata,2014,3,29.9,31.9,19,1009.5,7.4,4.0999999999999996,68.3
Bayaguana,Monte Plata,2014,5,166,31.9,21.5,1008.2,7.2,7.3,76.099999999999994
Bayaguana,Monte Plata,2014,7,306.60000000000002,33.5,22.4,,,4.5999999999999996,74.7
Bayaguana,Monte Plata,2014,9,158.1,31.7,22.3,,,5.3,80.5
Bayaguana,Monte Plata,2015,10,153.30000000000001,33.6,22.4,1005.1,10,5.5,79.900000000000006
Bayaguana,Monte Plata,2015,12,31.1,31.8,20.3,1009,10.3,4.7,79
Bayaguana,Monte Plata,2015,3,27.6,31.5,18.600000000000001,1009.2,8,4.3,69.900000000000006
Bayaguana,Monte Plata,2015,5,255.8,33,20.6,1009.5,8.6,5.0999999999999996,71.900000000000006
Bayaguana,Monte Plata,2015,7,83.7,33.799999999999997,21.7,1009.5,10.1,4.8,75.5
Bayaguana,Monte Plata,2015,9,88.1,33.700000000000003,22.4,1006.3,8.3000000000000007,5.2,81.2
Bayaguana,Monte Plata,2016,10,368.9,32.5,22.7,1003.8,9.3000000000000007,5.9,81.3
Bayaguana,Monte Plata,2016,12,56.5,31.2,20.2,1012,9.9,4.3,78.3
Bayaguana,Monte Plata,2016,3,77.599999999999994,31.6,19.7,1010.4,12.4,4.4000000000000004,70.7
Bayaguana,Monte Plata,2016,5,304.89999999999998,31.7,22.3,1008.1,11.6,5.9,79
Bayaguana,Monte Plata,2016,7,284.60000000000002,33.299999999999997,22.6,1008.8,10.8,4.8,75.5
Bayaguana,Monte Plata,2016,9,184.7,33.4,22.2,1007.6,9.4,5.0999999999999996,78.7
Cabrera,Maria Trinidad Sánchez,2011,10,107.6,32.200000000000003,25.1,1011.5,,,79.400000000000006
Cabrera,Maria Trinidad Sánchez,2011,12,144.69999999999999,29.3,22.7,1015.4,,,78.599999999999994
Cabrera,Maria Trinidad Sánchez,2011,3,20.5,29.4,22,1015.9,,,74.8
Cabrera,Maria Trinidad Sánchez,2011,5,259.3,30,23.4,1012.4,,,82.5
Cabrera,Maria Trinidad Sánchez,2011,7,339.5,31.5,24.7,1014.3,,,84
Cabrera,Maria Trinidad Sánchez,2011,9,117.7,32.5,25.2,1012.5,,,79.900000000000006
Cabrera,Maria Trinidad Sánchez,2012,10,253,31.6,24.7,1010.1,,,81
Cabrera,Maria Trinidad Sánchez,2012,12,281.7,29.2,23,1014.8,,,80.8
Cabrera,Maria Trinidad Sánchez,2012,3,133.80000000000001,29.4,22.8,1016.7,,,81.2
Cabrera,Maria Trinidad Sánchez,2012,5,330.5,30.8,23.9,1013.7,,,84.6
Cabrera,Maria Trinidad Sánchez,2012,7,201.8,32.200000000000003,25.6,1015.8,,,84.7
Cabrera,Maria Trinidad Sánchez,2012,9,33.4,33.200000000000003,25.4,1013.5,,,77
Cabrera,Maria Trinidad Sánchez,2013,10,315.60000000000002,32.200000000000003,24.9,1014.2,4.8,,76.3
Cabrera,Maria Trinidad Sánchez,2013,12,217.5,29.6,23.4,1019.9,5.4,,79.099999999999994
Cabrera,Maria Trinidad Sánchez,2013,3,114.9,29.2,22.6,1015.3,5.9,,75.7
Cabrera,Maria Trinidad Sánchez,2013,5,421.4,30.8,24.1,1014.9,5.8,,82.2
Cabrera,Maria Trinidad Sánchez,2013,7,174.1,31.7,25.5,1016.9,5.7,,76.900000000000006
Cabrera,Maria Trinidad Sánchez,2013,9,170.8,33.1,25.4,1011.4,4.5999999999999996,,76.3
Cabrera,Maria Trinidad Sánchez,2014,10,124.7,32.5,25.1,1011.2,4.4000000000000004,,72.400000000000006
Cabrera,Maria Trinidad Sánchez,2014,12,141.19999999999999,29.5,22.6,1014.1,5.0999999999999996,,73.7
Cabrera,Maria Trinidad Sánchez,2014,3,125.3,30.3,23,1018.1,5,,75.5
Cabrera,Maria Trinidad Sánchez,2014,5,363.1,30.8,23.9,1018.1,5.0999999999999996,,80.900000000000006
Cabrera,Maria Trinidad Sánchez,2014,7,115.3,32.5,25.7,1015.5,6,,80
Cabrera,Maria Trinidad Sánchez,2014,9,211.8,32.200000000000003,24.7,1013,5,,74
Cabrera,Maria Trinidad Sánchez,2015,10,129.30000000000001,33.299999999999997,25.3,1011.8,5.0999999999999996,,75.400000000000006
Cabrera,Maria Trinidad Sánchez,2015,12,413.1,30,23.6,1015.8,6.6,,82.1
Cabrera,Maria Trinidad Sánchez,2015,3,54.9,29.9,23.2,1015.7,6.1,,77.5
Cabrera,Maria Trinidad Sánchez,2015,5,170.9,31.9,24.7,1014.4,6.2,,82.4
Cabrera,Maria Trinidad Sánchez,2015,7,22.8,32.799999999999997,26,1015.1,6.1,,82.2
Cabrera,Maria Trinidad Sánchez,2015,9,73.3,33.5,25.4,1012,5.0999999999999996,,74.099999999999994
Cabrera,Maria Trinidad Sánchez,2016,10,414.7,31.4,19.399999999999999,1009,7.7,,80.8
Cabrera,Maria Trinidad Sánchez,2016,12,195.1,29.7,18.3,1014.2,7.2,,80
Cabrera,Maria Trinidad Sánchez,2016,3,74.599999999999994,30,23.2,1016,7.4,,82
Cabrera,Maria Trinidad Sánchez,2016,5,134.6,31.3,24.1,1013.4,6.6,,81.900000000000006
Cabrera,Maria Trinidad Sánchez,2016,7,350.3,32.4,24,1015.7,8.3000000000000007,,75.900000000000006
Cabrera,Maria Trinidad Sánchez,2016,9,73.8,32.799999999999997,21,1013.3,7.9,,74.5
Higüero,Santo Domingo,2007,10,19.5,30.4,22.1,,,,
Higüero,Santo Domingo,2007,12,2.5,29.7,19.5,,,,
Higüero,Santo Domingo,2007,3,2.9,30.8,20.100000000000001,,,,
Higüero,Santo Domingo,2007,5,5.2,31.7,22.4,,,,
Higüero,Santo Domingo,2007,7,5.4,32.4,22.8,,,,
Higüero,Santo Domingo,2007,9,3.4,32.6,22.3,,,,
Higüero,Santo Domingo,2008,10,186.2,32,19.5,,,,
Higüero,Santo Domingo,2008,12,41.4,29.7,19.3,,,,
Higüero,Santo Domingo,2008,3,34.6,30.8,18.7,,,,
Higüero,Santo Domingo,2008,5,74.900000000000006,31,20.9,,,,
Higüero,Santo Domingo,2008,7,102.2,32.799999999999997,22.3,,,,
Higüero,Santo Domingo,2008,9,488.2,31.6,20.7,,,,
Higüero,Santo Domingo,2009,10,155.19999999999999,32.299999999999997,23.2,,,,
Higüero,Santo Domingo,2009,12,64.8,30.6,21.6,,,,
Higüero,Santo Domingo,2009,3,58.5,28.6,19,,,,
Higüero,Santo Domingo,2009,5,263.5,30.2,22,,,,
Higüero,Santo Domingo,2009,7,260.10000000000002,32.4,23.4,,,,
Higüero,Santo Domingo,2009,9,102.9,32.700000000000003,23.6,,,,
Higüero,Santo Domingo,2010,10,89.7,30.4,22.4,,,,
Higüero,Santo Domingo,2010,12,1.4,29.7,18.2,,,,
Higüero,Santo Domingo,2010,3,10.199999999999999,30.8,21.3,,,,
Higüero,Santo Domingo,2010,5,297.2,31.7,23.1,,,,
Higüero,Santo Domingo,2010,7,467,32.4,23.2,,,,
Higüero,Santo Domingo,2010,9,252.6,32.6,22.8,,,,
Higüero,Santo Domingo,2011,10,157.69999999999999,31.7,22.1,,,,
Higüero,Santo Domingo,2011,12,31,30.8,19.8,,,,
Higüero,Santo Domingo,2011,3,6.9,30.8,18.399999999999999,,,,
Higüero,Santo Domingo,2011,5,222.6,31.7,21.3,,,,
Higüero,Santo Domingo,2011,7,577.5,31.7,22.5,,,,
Higüero,Santo Domingo,2011,9,215,32.9,22.2,,,,
Higüero,Santo Domingo,2012,10,398.3,32.700000000000003,22.5,,,,
Higüero,Santo Domingo,2012,12,33.1,31.1,20.3,,,,
Higüero,Santo Domingo,2012,3,155.5,30.8,19.5,,,,
Higüero,Santo Domingo,2012,5,272.60000000000002,31.8,21.1,,,,
Higüero,Santo Domingo,2012,7,204.1,33.200000000000003,20.7,,,,
Higüero,Santo Domingo,2012,9,80.3,34.1,21.6,,,,
Higüero,Santo Domingo,2013,10,125.5,,,,,,
Higüero,Santo Domingo,2013,12,41.2,,,,,,
Higüero,Santo Domingo,2013,3,9.1999999999999993,31.6,20.3,,,,
Higüero,Santo Domingo,2013,5,605.5,31.7,21.3,,,,
Higüero,Santo Domingo,2013,7,337.8,32.700000000000003,21.4,,,,
Higüero,Santo Domingo,2013,9,163.80000000000001,33.5,22.1,,,,
Higüero,Santo Domingo,2014,10,42.2,33.5,22.4,,,,
Higüero,Santo Domingo,2014,12,6.8,30.6,19.600000000000001,,,,
Higüero,Santo Domingo,2014,3,8.8000000000000007,32.200000000000003,18.899999999999999,,,,
Higüero,Santo Domingo,2014,5,116.5,31.7,19.7,,,,
Higüero,Santo Domingo,2014,7,114.6,33.299999999999997,20.7,,,,
Higüero,Santo Domingo,2014,9,204.5,32.799999999999997,23.1,,,,
Higüero,Santo Domingo,2015,10,57.5,33.799999999999997,22.2,,,,
Higüero,Santo Domingo,2015,12,39.4,31.2,20.6,,,,
Higüero,Santo Domingo,2015,3,71.900000000000006,31.8,18.100000000000001,,,,
Higüero,Santo Domingo,2015,5,66.7,32.700000000000003,21.5,,,,
Higüero,Santo Domingo,2015,7,4.2,33.4,23.4,,,,
Higüero,Santo Domingo,2015,9,66.7,33.6,22.6,,,,
Higüero,Santo Domingo,2016,10,,,,,,,
Higüero,Santo Domingo,2016,12,,,,,,,
Higüero,Santo Domingo,2016,3,,,,,,,
Higüero,Santo Domingo,2016,5,,,,,,,
Higüero,Santo Domingo,2016,7,,,,,,,
Higüero,Santo Domingo,2016,9,,,,,,,
Aeropuerto La Unión,Puerto Plata,2011,10,34.299999999999997,32.4,22.3,1011.2,7.2,4.3,83.3
Aeropuerto La Unión,Puerto Plata,2011,12,241,28.4,20.2,1015.2,6,4.0999999999999996,86.4
Aeropuerto La Unión,Puerto Plata,2011,3,28.7,28.9,19.2,1015.5,8.6999999999999993,3.3,79.3
Aeropuerto La Unión,Puerto Plata,2011,5,216.7,29.8,20.9,1012.5,7,4.9000000000000004,84
Aeropuerto La Unión,Puerto Plata,2011,7,208.1,32.1,23,1013.8,9.6999999999999993,4.8,80.099999999999994
Aeropuerto La Unión,Puerto Plata,2011,9,159.80000000000001,32.299999999999997,22.7,1012.3,7.5,4.5,85.1
Aeropuerto La Unión,Puerto Plata,2012,10,122.9,32,22.4,1010.1,7.3,4.3,82.7
Aeropuerto La Unión,Puerto Plata,2012,12,313,28.8,20.100000000000001,1014.4,6.4,3.8,86.3
Aeropuerto La Unión,Puerto Plata,2012,3,397.4,28.5,19.399999999999999,1016,9.1,4,84.2
Aeropuerto La Unión,Puerto Plata,2012,5,175.3,31.3,21.7,1013.3,9.1,4.2,81.3
Aeropuerto La Unión,Puerto Plata,2012,7,78.900000000000006,33.1,23.2,1015.3,11,3.7,80.400000000000006
Aeropuerto La Unión,Puerto Plata,2012,9,27.3,33.299999999999997,22.6,1013.2,7.6,3.1,79.8
Aeropuerto La Unión,Puerto Plata,2013,10,142,33.1,22.7,1012.3,6.2,4.2,83.2
Aeropuerto La Unión,Puerto Plata,2013,12,134.19999999999999,29.6,20,1016.1,7,3.4,88.1
Aeropuerto La Unión,Puerto Plata,2013,3,119.2,28.2,19.8,1014.9,7.4,4.5,81.2
Aeropuerto La Unión,Puerto Plata,2013,5,129.69999999999999,30.9,21.6,1014.5,8.1,4.9000000000000004,83.5
Aeropuerto La Unión,Puerto Plata,2013,7,168.3,32,23.1,1015.7,10.1,4.4000000000000004,83.5
Aeropuerto La Unión,Puerto Plata,2013,9,99.1,32.799999999999997,23.2,1012,6.5,4.5,83.9
Aeropuerto La Unión,Puerto Plata,2014,10,184.7,32.700000000000003,22.5,1012.2,6,3.7,83.7
Aeropuerto La Unión,Puerto Plata,2014,12,188.6,29.3,20,1016.2,5.5,3.8,86.5
Aeropuerto La Unión,Puerto Plata,2014,3,70.3,30.2,19.3,1014.5,8.3000000000000007,3.2,83.1
Aeropuerto La Unión,Puerto Plata,2014,5,298.2,31.1,20.5,1014.6,10.199999999999999,4.7,82.7
Aeropuerto La Unión,Puerto Plata,2014,7,12.9,34.5,21.5,1015.9,12.8,3.6,75.099999999999994
Aeropuerto La Unión,Puerto Plata,2014,9,125.2,33,22.8,1013.4,8.6999999999999993,4.3,82.5
Aeropuerto La Unión,Puerto Plata,2015,10,105.8,33.700000000000003,23.7,1011.6,8.1,4.2,80.2
Aeropuerto La Unión,Puerto Plata,2015,12,113.4,30.7,21.7,1015.6,8.1999999999999993,3.9,85.6
Aeropuerto La Unión,Puerto Plata,2015,3,104.3,29.4,20.3,1016.8,8.6999999999999993,3.7,83.1
Aeropuerto La Unión,Puerto Plata,2015,5,55.4,32.5,22.5,1015.3,11.3,4.3,78.900000000000006
Aeropuerto La Unión,Puerto Plata,2015,7,9.3000000000000007,34.299999999999997,23.6,1015.8,14,3.4,76.099999999999994
Aeropuerto La Unión,Puerto Plata,2015,9,44.5,33.9,23.8,1012.1,10,3.8,79.900000000000006
Aeropuerto La Unión,Puerto Plata,2016,10,278.89999999999998,31.7,22.6,1010.2,5.3,5.3,87.8
Aeropuerto La Unión,Puerto Plata,2016,12,289.7,29.8,20.9,1015.3,5.8,3.7,89
Aeropuerto La Unión,Puerto Plata,2016,3,65.099999999999994,30.6,17.899999999999999,1016.2,9.1,3.7,82.8
Aeropuerto La Unión,Puerto Plata,2016,5,178.9,31.9,22.4,1014,7.2,4.8,85.1
Aeropuerto La Unión,Puerto Plata,2016,7,112.6,33.1,23.4,1015.9,10.8,4,81
Aeropuerto La Unión,Puerto Plata,2016,9,151.80000000000001,33.299999999999997,22.6,1014,6.9,3.4,84.3
Las Américas,Santo Domingo,1960,10,162.6,30.7,21.8,,,,
Las Américas,Santo Domingo,1960,12,73.8,28.3,19.399999999999999,,,,
Las Américas,Santo Domingo,1960,3,63.9,30.1,20,,,,
Las Américas,Santo Domingo,1960,5,67.3,31,22.4,,,,
Las Américas,Santo Domingo,1960,7,98.2,31.8,22.1,,,,
Las Américas,Santo Domingo,1960,9,96.2,31.3,22.5,,,,
Las Américas,Santo Domingo,1961,10,242.2,31,22.1,,,6.1,87.3
Las Américas,Santo Domingo,1961,12,97.1,28.8,19.8,,,5.2,
Las Américas,Santo Domingo,1961,3,37.200000000000003,30.3,19,,13.1,4.8,80.900000000000006
Las Américas,Santo Domingo,1961,5,90.7,30.7,21.3,,,5.5,83.6
Las Américas,Santo Domingo,1961,7,154.4,31.4,21.9,,,5.5,85.3
Las Américas,Santo Domingo,1961,9,72.3,31.6,21.9,,,5.6,84.9
Las Américas,Santo Domingo,1962,10,67,31.8,22.1,,6.3,4.5999999999999996,85.7
Las Américas,Santo Domingo,1962,12,66.8,30,20.100000000000001,,6.8,4.9000000000000004,86.2
Las Américas,Santo Domingo,1962,3,52,30.2,18.899999999999999,,,4.2,79.099999999999994
Las Américas,Santo Domingo,1962,5,55.5,30,20.9,,6.8,6.2,84.5
Las Américas,Santo Domingo,1962,7,161.30000000000001,31.8,22,,7.5,4.5,83.6
Las Américas,Santo Domingo,1962,9,76.3,31.9,22.1,,6.9,4.7,85.3
Las Américas,Santo Domingo,1963,10,201.8,30.6,22.8,,14,5.6,86.5
Las Américas,Santo Domingo,1963,12,92,30.4,20.7,,12.9,4,84.6
Las Américas,Santo Domingo,1963,3,80.400000000000006,30.3,19.5,,15.1,4.4000000000000004,78.8
Las Américas,Santo Domingo,1963,5,138.6,30.4,21.1,,13.3,5.3,80.400000000000006
Las Américas,Santo Domingo,1963,7,69.599999999999994,32,22.5,,12.7,4.8,82.5
Las Américas,Santo Domingo,1963,9,294.89999999999998,31.2,22.8,,13.3,5.2,86.8
Las Américas,Santo Domingo,1964,10,85.8,30.7,22,,11.7,4.9000000000000004,87.2
Las Américas,Santo Domingo,1964,12,30.9,29,18.2,,15.5,4.0999999999999996,85.7
Las Américas,Santo Domingo,1964,3,27,30.5,19.600000000000001,,16.2,3.8,76.900000000000006
Las Américas,Santo Domingo,1964,5,131.19999999999999,31.1,21.8,,16.100000000000001,4.8,81.900000000000006
Las Américas,Santo Domingo,1964,7,81.8,31.6,22.6,,14.5,5.3,84.3
Las Américas,Santo Domingo,1964,9,178.7,31.8,22.5,,12,5.2,85.7
Las Américas,Santo Domingo,1965,10,81.7,31.8,23.3,,13.6,5,
Las Américas,Santo Domingo,1965,12,33.799999999999997,30.3,20.100000000000001,,14.9,4.5999999999999996,
Las Américas,Santo Domingo,1965,3,8.8000000000000007,30.7,19.7,,17.600000000000001,3.1,79
Las Américas,Santo Domingo,1965,5,,,,,,,
Las Américas,Santo Domingo,1965,7,85.4,30.6,22.6,,15.1,5.4,
Las Américas,Santo Domingo,1965,9,29.5,31.4,23.6,,13.7,,
Las Américas,Santo Domingo,1966,10,166.5,31.5,21.9,,14,5.0999999999999996,84.7
Las Américas,Santo Domingo,1966,12,43.2,29.8,19.2,,16.2,4.3,83.3
Las Américas,Santo Domingo,1966,3,24.9,30.8,19.899999999999999,,17.399999999999999,4.7,78.3
Las Américas,Santo Domingo,1966,5,142.30000000000001,30.8,21.9,,17.2,5.9,83.2
Las Américas,Santo Domingo,1966,7,62,32.299999999999997,22.8,,15.7,5.2,82.8
Las Américas,Santo Domingo,1966,9,197.5,32.1,22.4,,15.2,4.5999999999999996,83.6
Las Américas,Santo Domingo,1967,10,110.1,32,21.8,,11.6,4.4000000000000004,85.5
Las Américas,Santo Domingo,1967,12,17.600000000000001,30.6,18.7,,13.5,4.2,80.599999999999994
Las Américas,Santo Domingo,1967,3,23.5,30.2,18.399999999999999,,17,3.8,75.3
Las Américas,Santo Domingo,1967,5,36.200000000000003,31.4,21.3,,17.600000000000001,4.5999999999999996,77
Las Américas,Santo Domingo,1967,7,74.5,32.1,22.6,,16.399999999999999,4.9000000000000004,81
Las Américas,Santo Domingo,1967,9,171.9,31.7,22.3,,14.9,5,84.9
Las Américas,Santo Domingo,1968,10,18.7,32.200000000000003,21.9,,12.8,4.5999999999999996,80.099999999999994
Las Américas,Santo Domingo,1968,12,75.599999999999994,29.7,20.100000000000001,,13,4.4000000000000004,83.2
Las Américas,Santo Domingo,1968,3,17.100000000000001,30,18.3,,14.6,3.9,78.099999999999994
Las Américas,Santo Domingo,1968,5,35,30.7,21.9,,14.5,4.9000000000000004,81.400000000000006
Las Américas,Santo Domingo,1968,7,175.9,31.5,22.4,,13.1,5,83.2
Las Américas,Santo Domingo,1968,9,111,31.7,22.5,,12.2,5,81.400000000000006
Las Américas,Santo Domingo,1969,10,170.7,31.5,22.5,,11,5,84.9
