Estación,Provincia,Año,Mes,Precipitación,Temperatura máxima,Temperatura mínima,Velocidad del viento,Humedad relativa,Presión atmosférica
Las Américas,Santo Domingo,2017,9,258.10000000000002,32.5,24.3,10.7,84.5,1010.4
Monte Cristi,Monte Cristi,2017,10,13.5,33.1,24.1,10.6,68.2,1011.7
Monte Cristi,Monte Cristi,2017,12,63.9,30.4,21.4,8.1999999999999993,79.900000000000006,1015.6
Monte Cristi,Monte Cristi,2017,3,85.7,29.6,21.1,13,70.8,1017.7
Monte Cristi,Monte Cristi,2017,5,66.3,32.1,23.4,11.7,68.3,1014.7
Monte Cristi,Monte Cristi,2017,7,71.8,34,24.5,13.1,66.099999999999994,1015.5
Monte Cristi,Monte Cristi,2017,9,186.9,33.6,24.5,12.7,71.2,1011.1
Punta Cana,La Altagracia,2017,10,111.3,30.3,23.9,10.4,85.2,1011.4
Punta Cana,La Altagracia,2017,12,41.3,29.3,23,14.7,79.7,1012.6
Punta Cana,La Altagracia,2017,3,93.4,18.5,15,15.8,79.2,1014.8
Punta Cana,La Altagracia,2017,5,322.39999999999998,29.8,24,13.9,81.5,1014.1
Punta Cana,La Altagracia,2017,7,131.69999999999999,31.1,25,14.3,82.6,1015.1
Punta Cana,La Altagracia,2017,9,368.3,31.2,24.6,14.1,84.3,1010.3
Sabana de la Mar,Hato Mayor,2017,10,243.5,31.2,18.7,8.4,82.5,1011.5
Sabana de la Mar,Hato Mayor,2017,12,143.6,29.3,17,10.199999999999999,80.400000000000006,1014.9
Sabana de la Mar,Hato Mayor,2017,3,307.2,28.7,17.399999999999999,11.6,80,1015.4
Sabana de la Mar,Hato Mayor,2017,5,327.5,30.1,19,10.4,82.4,1014.6
Sabana de la Mar,Hato Mayor,2017,7,205,31.3,19.7,10,82.8,1015.5
Sabana de la Mar,Hato Mayor,2017,9,650.9,32,19.7,10.7,82.1,1010.8
Santiago,Santiago,2017,10,68.599999999999994,32.4,21.9,9.3000000000000007,83.2,993.1
Santiago,Santiago,2017,12,33,29.7,18.7,8.1,84.7,996.8
Santiago,Santiago,2017,3,193.9,29.3,19.3,10.3,81.5,996.9
Santiago,Santiago,2017,5,160,31.5,21.8,13.9,80.8,995.5
Santiago,Santiago,2017,7,88.9,33,22.8,13.2,80.599999999999994,996.9
Santiago,Santiago,2017,9,358.9,33,22.9,11.2,81.5,992.3
Santo Domingo,Santo Domingo,2017,10,148.19999999999999,32.1,24.4,5.8,84.2,1011
Santo Domingo,Santo Domingo,2017,12,2.6,31.7,22.8,6.4,82.3,1014.2
Santo Domingo,Santo Domingo,2017,3,51.1,30.6,22.2,8,81.5,1014.9
Santo Domingo,Santo Domingo,2017,5,51.2,31.7,24.1,6.9,82.7,1014
Santo Domingo,Santo Domingo,2017,7,116.3,32.799999999999997,25.3,9.5,75.2,1013.3
Santo Domingo,Santo Domingo,2017,9,273.39999999999998,32.4,25,7.7,84.1,1010.4
Aeropuerto La Unión,Puerto Plata,2018,10,143.69999999999999,32.200000000000003,22.5,6.7,86.9,1013
Aeropuerto La Unión,Puerto Plata,2018,12,82.6,31.3,20.7,8.1,85,1016.7
Aeropuerto La Unión,Puerto Plata,2018,3,406.4,30.1,19.3,9.4,83.4,1014.6
Aeropuerto La Unión,Puerto Plata,2018,5,60.9,32.1,22.5,12,82.2,1014.8
Aeropuerto La Unión,Puerto Plata,2018,7,29.5,34.299999999999997,24,11.4,80.2,1015.7
Aeropuerto La Unión,Puerto Plata,2018,9,25.1,34.200000000000003,23.1,7.9,82.7,1012.9
Arroyo Barril,Samaná,2018,10,157,31.1,20.6,5.8,84.4,1009.7
Arroyo Barril,Samaná,2018,12,118.7,30,20,8.1,82.1,1014.4
Arroyo Barril,Samaná,2018,3,135.80000000000001,29.9,19.3,9.9,79.900000000000006,1014.1
Arroyo Barril,Samaná,2018,5,184.3,30.8,22,10.8,79.599999999999994,1013.2
Arroyo Barril,Samaná,2018,7,113,31.8,23,10.6,78.7,1013.7
Arroyo Barril,Samaná,2018,9,223.1,31.5,22.1,6.6,82.4,1010.1
Barahona,Barahona,2018,10,100.1,31.7,22.7,15.3,76.2,1013.2
Barahona,Barahona,2018,12,8.4,31,21,16.5,70.2,1017.1
Barahona,Barahona,2018,3,9.9,31,21.3,19.100000000000001,69.3,1014.5
Barahona,Barahona,2018,5,199.2,30.1,23.7,21.1,76.099999999999994,1015.5
Barahona,Barahona,2018,7,46.6,32.700000000000003,24.7,29.8,71.3,1016
Barahona,Barahona,2018,9,99.7,33.1,23.7,18.5,69.599999999999994,1013.6
Bayaguana,Monte Plata,2018,10,152.30000000000001,32.200000000000003,21.9,10.199999999999999,82.7,1006.4
Bayaguana,Monte Plata,2018,12,27.5,31.4,19.100000000000001,12,78.2,1011.1
Bayaguana,Monte Plata,2018,3,54.4,31,19,12.3,77.2,1005
Bayaguana,Monte Plata,2018,5,229.5,31.6,21.6,11.8,80.7,1006.3
Bayaguana,Monte Plata,2018,7,235.7,33.1,22.7,11.3,78.8,1009.1
Bayaguana,Monte Plata,2018,9,171.3,32.700000000000003,22.6,9.6,83.6,1006
Cabrera,María Trinidad Sánchez,2018,10,139.4,31.2,19,7.7,80.5,1010
Cabrera,María Trinidad Sánchez,2018,12,107.7,29.9,18.2,9.4,78.099999999999994,1014
Cabrera,María Trinidad Sánchez,2018,3,63,29.2,17.8,10,73.5,1012.1
Cabrera,María Trinidad Sánchez,2018,5,325.8,31,20,10,82,1014.4
Cabrera,María Trinidad Sánchez,2018,7,187.5,32.200000000000003,20.2,7.6,80.900000000000006,1014
Cabrera,María Trinidad Sánchez,2018,9,132.4,31.8,19.899999999999999,8.1,81.5,1010.7
Catey,Samaná,2018,10,132.69999999999999,,22.3,7.6,84,1013.5
Catey,Samaná,2018,12,78.900000000000006,29.8,20.2,9,81.7,1017.8
Catey,Samaná,2018,3,31.8,30,20,15,79,1016
Catey,Samaná,2018,5,249.9,31,22,10.8,81,1017
Catey,Samaná,2018,7,189.9,31.1,23.3,12.6,81.400000000000006,1017.4
Catey,Samaná,2018,9,155.30000000000001,,22.9,8.4,84.7,1014.4
Higüero,Santo Domingo,2018,10,104.4,32.200000000000003,21.4,8.5,76.5,1010.4
Higüero,Santo Domingo,2018,12,52.9,31,18.399999999999999,10,74.3,1014.6
Higüero,Santo Domingo,2018,3,8.8000000000000007,30.8,18,12.2,71.599999999999994,1012.4
Higüero,Santo Domingo,2018,5,198,30.9,21.2,10.7,75.2,1013.2
Higüero,Santo Domingo,2018,7,144.69999999999999,32.9,22.7,11.3,72.2,1013.9
Higüero,Santo Domingo,2018,9,253.3,32.299999999999997,22,9.6,77.099999999999994,1010.9
Jimaní,Independencia,2018,10,45.2,34.5,24.3,10.5,76.3,1009.6
Jimaní,Independencia,2018,12,0.2,32.700000000000003,22.8,12.2,74.7,1013.7
Jimaní,Independencia,2018,3,65,33.299999999999997,22.7,12.8,66.7,1011.3
Jimaní,Independencia,2018,5,58,33.1,24,16.2,71.5,1011.2
Jimaní,Independencia,2018,7,16,35.9,25.8,16.100000000000001,68.599999999999994,1012.2
Jimaní,Independencia,2018,9,38.4,35.700000000000003,25,12.2,74.099999999999994,1009.4
La Romana,La Romana,2018,10,117.1,31.6,21.6,6.8,85,1007.3
La Romana,La Romana,2018,12,31.8,31,19.5,12.3,82.1,1011.4
La Romana,La Romana,2018,3,26.5,29.9,21,10.5,69.7,1014.9
La Romana,La Romana,2018,5,29.1,32,22.2,12.7,74.7,1010
La Romana,La Romana,2018,7,18.3,33.9,23.1,9.8000000000000007,74.2,1010.4
La Romana,La Romana,2018,9,235,31.9,22.4,8.1,84.7,1007.5
Las Américas,Santo Domingo,2018,10,182.6,30.8,22.5,7.8,87.2,1011
Las Américas,Santo Domingo,2018,12,8,30.9,20.9,10,82,1011.4
Las Américas,Santo Domingo,2018,3,23.9,30.4,20,10.3,80.5,1013.3
Las Américas,Santo Domingo,2018,5,65.5,31.4,22.2,11.8,81.3,1013.8
Las Américas,Santo Domingo,2018,7,133.69999999999999,32.799999999999997,23.5,10,80.099999999999994,1014.5
Las Américas,Santo Domingo,2018,9,255.7,31.9,23.2,9.5,86.6,1011.2
Monte Cristi,Monte Cristi,2018,10,45.4,32.4,23.4,9.9,73.5,1013.5
Monte Cristi,Monte Cristi,2018,12,8.1,31.6,21.9,9.1999999999999993,71.099999999999994,1018.1
Monte Cristi,Monte Cristi,2018,3,26.5,29.9,21,10.5,69.599999999999994,1015.3
Monte Cristi,Monte Cristi,2018,5,37.700000000000003,32.4,23.8,12.3,68.5,1014.9
Monte Cristi,Monte Cristi,2018,7,2.1,34.1,25.1,11.8,62.7,1015.8
Monte Cristi,Monte Cristi,2018,9,18.5,33.200000000000003,23.7,10.5,69.900000000000006,1013.8
Punta Cana,La Altagracia,2018,10,93.5,30,23.5,3.3,82.4,1012
Punta Cana,La Altagracia,2018,12,59.6,29.4,22.3,14.5,76.3,1016.3
Punta Cana,La Altagracia,2018,3,24.5,28.3,21.1,11.9,76.3,1016.7
Punta Cana,La Altagracia,2018,5,94.9,31.4,22.1,15.8,78.7,1015
Punta Cana,La Altagracia,2018,7,34.9,31.1,25.3,16.7,77.7,1015.5
Punta Cana,La Altagracia,2018,9,48.4,30.8,24.8,10,81.3,1012.2
Sabana de la Mar,Hato Mayor,2018,10,307,30.8,17.5,7.8,82.8,1012.5
Sabana de la Mar,Hato Mayor,2018,12,157.5,29.5,15,10,80.8,1016.6
Sabana de la Mar,Hato Mayor,2018,3,91,29.1,15.5,9.9,76.2,1014.1
Sabana de la Mar,Hato Mayor,2018,5,341.9,29.8,16.8,12.9,80.599999999999994,1014.9
Sabana de la Mar,Hato Mayor,2018,7,149.5,30.9,18.600000000000001,12.7,79.5,1015.6
Sabana de la Mar,Hato Mayor,2018,9,210.2,31.3,18,8.5,82.8,1013
Santiago,Santiago,2018,10,60.8,31.6,20.8,8.8000000000000007,85.8,993.9
Santiago,Santiago,2018,12,25.6,30.9,18.3,11.2,83.7,998.1
Santiago,Santiago,2018,3,23.1,30.2,18.399999999999999,10.4,77.8,995.6
Santiago,Santiago,2018,5,72.900000000000006,31.5,21.6,18.5,79.2,996
Santiago,Santiago,2018,7,18.7,33.5,22.7,16.7,77.8,997.1
Santiago,Santiago,2018,9,30.3,33.5,21.8,12.2,82.2,994.3
Santo Domingo,Santo Domingo,2018,10,112,32.299999999999997,24.3,5.0999999999999996,83.3,1012.3
Santo Domingo,Santo Domingo,2018,12,22.6,31.1,22.8,5.5,78.8,1016.3
Santo Domingo,Santo Domingo,2018,3,84.6,30.5,21.7,6.8,78.3,1013.8
Santo Domingo,Santo Domingo,2018,5,120.6,31.8,23.7,6.5,81.400000000000006,1014.6
Santo Domingo,Santo Domingo,2018,7,299.8,32.5,25.2,7,85.7,1015
Santo Domingo,Santo Domingo,2018,9,319.10000000000002,32.4,24.6,6.2,84.7,1012.4
Aeropuerto La Unión,Puerto Plata,2019,10,26.3,33.6,23.1,7.6,,1012.4
Aeropuerto La Unión,Puerto Plata,2019,12,339.3,30.5,21.1,5.8,,1014
Aeropuerto La Unión,Puerto Plata,2019,3,56.7,30.3,20.2,9.3000000000000007,82.4,1015.2
Aeropuerto La Unión,Puerto Plata,2019,5,30.4,32.799999999999997,22.6,11.6,,1013.5
Aeropuerto La Unión,Puerto Plata,2019,7,45.2,34.4,23.8,13.9,,1015.3
Aeropuerto La Unión,Puerto Plata,2019,9,82.6,34.5,24,10.199999999999999,,1011.6
Arroyo Barril,Samaná,2019,10,122.3,31.5,21.9,7.5,81.099999999999994,1010.1
Arroyo Barril,Samaná,2019,12,275.3,30.2,21.1,2,81.599999999999994,1011.8
Arroyo Barril,Samaná,2019,3,58.4,30.5,20,7.6,80.5,1013.1
Arroyo Barril,Samaná,2019,5,91.3,31.9,21.1,10,79.400000000000006,1011.9
Arroyo Barril,Samaná,2019,7,355.6,32.299999999999997,21.6,9,79.099999999999994,1013.3
Arroyo Barril,Samaná,2019,9,222.7,32.799999999999997,22.1,6.4,81.5,1009.6
Barahona,Barahona,2019,10,80,32,23.2,16.2,75.7,1012.7
Barahona,Barahona,2019,12,124.9,30.9,21.7,15.2,77.3,1012.9
Barahona,Barahona,2019,3,39.4,30.7,22,20.3,69.099999999999994,1015.5
Barahona,Barahona,2019,5,109.8,31.4,24.7,20.6,72.400000000000006,1014
Barahona,Barahona,2019,7,39.4,33.6,24.8,19.7,71.3,1014.6
Barahona,Barahona,2019,9,513.79999999999995,32.4,24.2,15,78.599999999999994,1011.6
Bayaguana,Monte Plata,2019,10,152.80000000000001,33.6,22,9.8000000000000007,81.7,1007.1
Bayaguana,Monte Plata,2019,12,42.9,31.7,20.7,12.9,81.3,
Bayaguana,Monte Plata,2019,3,82.3,31.6,19,12.7,80.599999999999994,1010
Bayaguana,Monte Plata,2019,5,227.1,32.200000000000003,21.8,9.6999999999999993,82.4,1008.4
Bayaguana,Monte Plata,2019,7,151,33.200000000000003,22.7,11.6,79.099999999999994,1010.2
Bayaguana,Monte Plata,2019,9,93,34.1,23.1,9.6999999999999993,80,1006.4
Cabrera,María Trinidad Sánchez,2019,10,126.2,32.6,25.3,7.5,,1012.2
Cabrera,María Trinidad Sánchez,2019,12,245.5,30.4,23.5,10.5,,1014
Cabrera,María Trinidad Sánchez,2019,3,41.3,30,21.4,16.7,,1015.1
Cabrera,María Trinidad Sánchez,2019,5,40.200000000000003,31.6,24.5,9.6,,1014
Cabrera,María Trinidad Sánchez,2019,7,200.2,32.6,25.8,9.4,,1016
Cabrera,María Trinidad Sánchez,2019,9,48.7,33.9,26.3,8.4,,1011.6
Catey,Samaná,2019,10,181.5,31.8,12.6,8.6999999999999993,85.1,1011.9
Catey,Samaná,2019,12,171.5,30.5,13.8,6.8,86.3,1013.5
Catey,Samaná,2019,3,131,30,19.3,12.2,81.2,1015.6
Catey,Samaná,2019,5,181.2,31.4,21.8,9.9,81.2,1012.8
Catey,Samaná,2019,7,195.3,31.5,22.1,11.6,83.1,1013.5
Catey,Samaná,2019,9,127.7,33,22.9,12.3,83.1,1011.6
Higüero,Santo Domingo,2019,10,127.6,32.9,21.2,8.6,75.400000000000006,1010
Higüero,Santo Domingo,2019,12,133.9,31.4,20.399999999999999,10.199999999999999,77.599999999999994,1011.4
Higüero,Santo Domingo,2019,3,86.7,30.2,17.399999999999999,11.7,70.3,1013.3
Higüero,Santo Domingo,2019,5,95.1,32.1,22.3,10.6,72.3,1012
Higüero,Santo Domingo,2019,7,130.5,33.200000000000003,22.8,8.6999999999999993,73.2,1013.2
Higüero,Santo Domingo,2019,9,142.9,33.6,22.7,9.9,72.5,1009.6
Jimaní,Independencia,2019,10,25.8,35.1,24.6,10.1,70.099999999999994,1008.6
Jimaní,Independencia,2019,12,22.6,34.299999999999997,23.3,9.6999999999999993,71.099999999999994,1010
Jimaní,Independencia,2019,3,80.099999999999994,33.700000000000003,23,11.6,78.900000000000006,1011
Jimaní,Independencia,2019,5,50.1,34.200000000000003,24.7,11.1,78.8,1009.4
Jimaní,Independencia,2019,7,18.7,36.700000000000003,25.9,11.5,62.9,1010.8
Jimaní,Independencia,2019,9,177.3,35.1,25.1,10.4,74.5,1008
La Romana,La Romana,2019,10,61.8,32.700000000000003,21.3,6.4,,1005.5
La Romana,La Romana,2019,12,95.3,30.4,19.7,8,,1006.7
La Romana,La Romana,2019,3,53.3,30.7,18.8,7.8,,1009.7
La Romana,La Romana,2019,5,198.4,31.9,21.5,10.8,,1006.8
La Romana,La Romana,2019,7,145,33.299999999999997,22.5,9.6999999999999993,,1008.4
La Romana,La Romana,2019,9,167.4,32.1,22.5,6.6,,1005.1
Las Américas,Santo Domingo,2019,10,48.3,32.200000000000003,23.2,7.8,84.9,1011.3
Las Américas,Santo Domingo,2019,12,154.19999999999999,30.3,19.899999999999999,8.6,,
Las Américas,Santo Domingo,2019,3,52.5,30.5,20.5,9.3000000000000007,80.7,1013.8
Las Américas,Santo Domingo,2019,5,100.3,31.6,22.5,9.3000000000000007,80.8,1012.7
Las Américas,Santo Domingo,2019,7,77.599999999999994,33.299999999999997,23.3,9.5,80,1014.2
Las Américas,Santo Domingo,2019,9,135.69999999999999,33.9,25.9,8.9,83.3,1010.8
Monte Cristi,Monte Cristi,2019,10,13.5,24.2,24.2,10.7,71.099999999999994,1002.8478737997256
Monte Cristi,Monte Cristi,2019,12,1.4,22.5,22.5,8.4,73.8,1002.4768785246152
Monte Cristi,Monte Cristi,2019,3,17.3,30.9,22,10.4,67.7,1016.9
Monte Cristi,Monte Cristi,2019,5,18.7,23.3,23.3,10.3,69.2,1004.2333333333332
Monte Cristi,Monte Cristi,2019,7,,25.5,25.5,12.3,65.599999999999994,1003.8592592592591
Monte Cristi,Monte Cristi,2019,9,119,25,25,22.7,72.099999999999994,1002.0720164609052
Punta Cana,La Altagracia,2019,10,127.1,31.1,23.5,10.5,81.099999999999994,1011.9
Punta Cana,La Altagracia,2019,12,146.30000000000001,30.1,23.5,14.9,78.7,1013.3
Punta Cana,La Altagracia,2019,3,33.5,28.9,22,16.399999999999999,74.099999999999994,985.3
Punta Cana,La Altagracia,2019,5,117.1,17,14.2,13.2,78.5,1013.6
Punta Cana,La Altagracia,2019,7,52,31.8,25.2,17,76.599999999999994,1015.1
Punta Cana,La Altagracia,2019,9,48.2,31.8,24.9,10,80.5,1011.5
Sabana de la Mar,Hato Mayor,2019,10,102.8,33.200000000000003,23.6,6.5,,
Sabana de la Mar,Hato Mayor,2019,12,194.6,30.9,21.4,8.1999999999999993,,
Sabana de la Mar,Hato Mayor,2019,3,126.5,29.6,15,11.1,,
Sabana de la Mar,Hato Mayor,2019,5,140.19999999999999,30.8,19.2,10.8,,
Sabana de la Mar,Hato Mayor,2019,7,167.4,31.6,22.2,11.6,,
Sabana de la Mar,Hato Mayor,2019,9,113,34.299999999999997,27.3,7.4,,
Santiago,Santiago,2019,10,39.200000000000003,32.6,21.3,9.6,82.6,993.6
Santiago,Santiago,2019,12,128.9,30.3,19.899999999999999,9.1,85.5,995.3
Santiago,Santiago,2019,3,132.1,32.200000000000003,18.399999999999999,11.1,75.7,996.2
Santiago,Santiago,2019,5,51.6,33.299999999999997,21.6,14.6,79.599999999999994,994.7
Santiago,Santiago,2019,7,53.3,34.4,22.5,15.6,78.400000000000006,996.6
Santiago,Santiago,2019,9,239.9,34.4,22.4,11.6,80.7,993.1
Santo Domingo,Santo Domingo,2019,10,63.4,34.6,24.5,7.1,79.900000000000006,1011.6
Santo Domingo,Santo Domingo,2019,12,90.5,31.7,23.2,7.9,80.7,1013.1
Santo Domingo,Santo Domingo,2019,3,36.700000000000003,31.4,22.6,7.7,76.400000000000006,1014.6
Santo Domingo,Santo Domingo,2019,5,59.8,32.1,24.4,7.1,79.7,1013.3
Santo Domingo,Santo Domingo,2019,7,125.8,33.5,25.4,8.6,79.099999999999994,1015
Santo Domingo,Santo Domingo,2019,9,87.9,33.799999999999997,25.9,7.3,79.5,1011.1
Aeropuerto La Unión,Puerto Plata,2020,10,30.6,33.9,22.8,9.1,84.1,1011.92580645161
Aeropuerto La Unión,Puerto Plata,2020,12,151.19999999999999,29.5,20.100000000000001,5.9,89.6,1014.69032258064
Aeropuerto La Unión,Puerto Plata,2020,3,430.7,29.1,19.399999999999999,8.6999999999999993,85.4,1016.9709677419301
Aeropuerto La Unión,Puerto Plata,2020,5,2.1,34.6,23.3,9.9,78.8,1013.5
Aeropuerto La Unión,Puerto Plata,2020,7,103.5,34.5,23.7,12.2,81.5,1013.73548387096
Aeropuerto La Unión,Puerto Plata,2020,9,77.7,33.5,23.1,7.6,85,1011.7666666666599
Arroyo Barril,Samaná,2020,10,146.5,31.9,23.1,7.1,82,1010.1
Arroyo Barril,Samaná,2020,12,148.9,29.5,21.2,6.4,85.9,1013
Arroyo Barril,Samaná,2020,3,247,28.5,21.1,8.5,84.6,1015.2
Arroyo Barril,Samaná,2020,5,,,,,,
Arroyo Barril,Samaná,2020,7,397.8,32.200000000000003,24.1,9.4,81.900000000000006,1011.9
Arroyo Barril,Samaná,2020,9,237.2,32.4,23.7,6.3,82.7,1010.5
Barahona,Barahona,2020,10,169.7,31.6,23.4,16.399999999999999,78.7,1011.2
Barahona,Barahona,2020,12,4.4000000000000004,30.6,20.3,13.7,79.2,1013.3
Barahona,Barahona,2020,3,59.6,30.8,21.4,18.3,71.3,1015.5
Barahona,Barahona,2020,5,26,32.200000000000003,24.4,20.5,74.5,1015.3
Barahona,Barahona,2020,7,73.099999999999994,34.4,26,18.2,68.900000000000006,1013.8258064516128
Barahona,Barahona,2020,9,57.4,33,24.3,15.3,75.599999999999994,1010.9
Bayaguana,Monte Plata,2020,10,216.2,32.799999999999997,21.1,11.2,82.1,1007.8
Bayaguana,Monte Plata,2020,12,73.599999999999994,30.9,21,10.8,83,1009.9
Bayaguana,Monte Plata,2020,3,42,31.3,20,14.4,75.5,1012.9
Bayaguana,Monte Plata,2020,5,61.8,33.5,22.2,13.4,74.599999999999994,1010.4
Bayaguana,Monte Plata,2020,7,351.2,33.700000000000003,20.8,12.1,79.900000000000006,1010.1
Bayaguana,Monte Plata,2020,9,227.1,33.5,21.1,9.8000000000000007,84.3,1007.6
Cabrera,María Trinidad Sánchez,2020,10,103.6,32.200000000000003,25.6,8.6,78.3,1010.6
Cabrera,María Trinidad Sánchez,2020,12,110.9,29.8,23.3,9.1,78.400000000000006,1012.5
Cabrera,María Trinidad Sánchez,2020,3,110.2,29.2,22.8,10.1,86.7,1016.4
Cabrera,María Trinidad Sánchez,2020,5,96.5,32.200000000000003,25.2,8.8000000000000007,74.400000000000006,1013.5
Cabrera,María Trinidad Sánchez,2020,7,370.2,32.9,26.2,10.5,78.3,1014.1
Cabrera,María Trinidad Sánchez,2020,9,179.8,32.6,25.5,8,77,1011.2
Catey,Samaná,2020,10,154.30000000000001,14.8,22.5,7.7,83.8,1012.3
Catey,Samaná,2020,12,154.6,17.100000000000001,20.2,5.4,85.9,1014.7
Catey,Samaná,2020,3,247.3,28.1,20.2,12.7,85.5,1017
Catey,Samaná,2020,5,76.7,32.1,22.4,12.4,80.7,1014.2
Catey,Samaná,2020,7,456.5,31.4,22.6,8.9,85.8,1014.7
Catey,Samaná,2020,9,256.8,31.6,22.9,6.8,83.5,1012.9
Higüero,Santo Domingo,2020,10,286.5,32.700000000000003,22.3,9.3000000000000007,77.400000000000006,1009.8
